iter	MultiClass
0	1.091549716
1	1.085184727
2	1.078470812
3	1.07223761
4	1.066275632
5	1.060614551
6	1.055796452
7	1.050798985
8	1.045792
9	1.041455963
10	1.037980956
11	1.033505784
12	1.02914729
13	1.024744917
14	1.020099082
15	1.017017342
16	1.013334425
17	1.010216573
18	1.006372279
19	1.002376869
20	0.9996025782
21	0.9969164447
22	0.993738851
23	0.99104838
24	0.988285152
25	0.9857374093
26	0.9832525269
27	0.9802359103
28	0.9771151063
29	0.9747325083
30	0.9729616111
31	0.9705326804
32	0.9684243431
33	0.9663130153
34	0.9641389449
35	0.9620397219
36	0.9602271998
37	0.9584184519
38	0.9572102511
39	0.9556983201
40	0.9538055372
41	0.9511764034
42	0.94916454
43	0.9481935727
44	0.9467459929
45	0.9453357573
46	0.9439485292
47	0.9426029911
48	0.9403139553
49	0.9386995969
50	0.9370413036
51	0.935256751
52	0.9334941163
53	0.9319287571
54	0.9310150187
55	0.9296253802
56	0.9280619496
57	0.9264050033
58	0.92478671
59	0.9236263312
60	0.921137224
61	0.9183970764
62	0.9176014313
63	0.9168187796
64	0.9147568607
65	0.9138997629
66	0.9128425277
67	0.911469241
68	0.9100512739
69	0.9078945683
70	0.9071252201
71	0.9057937357
72	0.9047701656
73	0.9032790832
74	0.9017097334
75	0.9005910843
76	0.8994918496
77	0.8983843423
78	0.8972460241
79	0.895667522
80	0.8946175362
81	0.8932067616
82	0.89230119
83	0.8905283059
84	0.8888470715
85	0.8878847704
86	0.8867148088
87	0.886078135
88	0.8848676338
89	0.8834713833
90	0.8821412227
91	0.8809269306
92	0.8799534911
93	0.878802972
94	0.8777112976
95	0.8773618406
96	0.8767542366
97	0.8756953649
98	0.8746829287
99	0.8736230766
100	0.8722682281
101	0.8717231049
102	0.869960798
103	0.8683254081
104	0.8672043316
105	0.8660082882
106	0.8642448641
107	0.8621884041
108	0.8616384169
109	0.8606574826
110	0.8597494509
111	0.8584632047
112	0.8576887484
113	0.8569691992
114	0.8552774013
115	0.8544666284
116	0.8535945224
117	0.8523267201
118	0.8516359101
119	0.8502271518
120	0.8491060831
121	0.8485490845
122	0.8475595445
123	0.8452975824
124	0.8435589333
125	0.841830676
126	0.8406399828
127	0.8397805806
128	0.8387170089
129	0.8382153822
130	0.8368720598
131	0.8361314082
132	0.8347636353
133	0.8335275952
134	0.8326613555
135	0.832074423
136	0.8307780212
137	0.8303031113
138	0.8290572038
139	0.8276814326
140	0.8258430762
141	0.8248074892
142	0.8238835721
143	0.8233918467
144	0.8224155991
145	0.8210598562
146	0.820246254
147	0.8196170461
148	0.8186323144
149	0.8176367024
150	0.8170764345
151	0.8160884816
152	0.8147414076
153	0.8134856179
154	0.812674309
155	0.8121315487
156	0.8114837958
157	0.810824211
158	0.8096174205
159	0.8091521338
160	0.8083151147
161	0.8080377692
162	0.8071053098
163	0.8052393331
164	0.803974613
165	0.8029319046
166	0.801923439
167	0.8017133261
168	0.8008066735
169	0.8002433727
170	0.7997117689
171	0.7986818607
172	0.7981257243
173	0.7973138228
174	0.7970748339
175	0.7967646817
176	0.7963212828
177	0.7947963447
178	0.7943462716
179	0.7936485049
180	0.792620355
181	0.7918781823
182	0.7911945112
183	0.7902901306
184	0.789958966
185	0.7890676819
186	0.7883616582
187	0.7877446307
188	0.7869237542
189	0.7856053674
190	0.7851151305
191	0.7841595184
192	0.7835795109
193	0.7829749569
194	0.7827447811
195	0.7822645558
196	0.7815361763
197	0.7810344233
198	0.7807084394
199	0.7801576585
200	0.7785470747
201	0.7776515604
202	0.7772885343
203	0.7767040191
204	0.7752469983
205	0.7745242444
206	0.774155989
207	0.7733168469
208	0.7720309764
209	0.7718249367
210	0.7709054513
211	0.7696323597
212	0.7692766165
213	0.7689514231
214	0.7681575481
215	0.7677040977
216	0.7671249945
217	0.7668302842
218	0.766528075
219	0.7659349977
220	0.765640729
221	0.7644278842
222	0.7634568692
223	0.7626954328
224	0.7619237409
225	0.7605558645
226	0.7597678017
227	0.7586866635
228	0.7577371671
229	0.7567187667
230	0.7565589048
231	0.7559282665
232	0.7557070006
233	0.7550850925
234	0.7546321712
235	0.7535700938
236	0.7528894286
237	0.7526688379
238	0.7520018027
239	0.7514848459
240	0.7508847693
241	0.7497912965
242	0.7484237019
243	0.7480063419
244	0.7467574099
245	0.7455324294
246	0.7451532779
247	0.7446474575
248	0.7439315809
249	0.7425611389
250	0.7419055246
251	0.7414298318
252	0.7410503339
253	0.7405866003
254	0.7400990053
255	0.7396213666
256	0.7391187472
257	0.7383734924
258	0.7379304298
259	0.7376544201
260	0.7365240626
261	0.7361409322
262	0.7355805947
263	0.7349455032
264	0.7343643407
265	0.7337039188
266	0.7332195273
267	0.7323638173
268	0.7317933191
269	0.7313008777
270	0.7309358856
271	0.7306935442
272	0.7297657686
273	0.729185796
274	0.7283585868
275	0.7279159059
276	0.7269844972
277	0.7262505294
278	0.7259154032
279	0.7246460623
280	0.7243916849
281	0.7236728638
282	0.7233238357
283	0.7226768442
284	0.7215230325
285	0.7208803497
286	0.720481596
287	0.7196182715
288	0.7190264294
289	0.7185289743
290	0.717612555
291	0.7167381601
292	0.7162965154
293	0.7154942739
294	0.7145496721
295	0.7139011288
296	0.7128583186
297	0.7120411095
298	0.7112586664
299	0.7100676101
