iter	Passed	Remaining
0	11	3301
1	18	2755
2	26	2578
3	33	2473
4	40	2400
5	48	2354
6	55	2319
7	62	2292
8	70	2265
9	77	2248
10	84	2211
11	91	2189
12	98	2168
13	105	2145
14	112	2135
15	119	2120
16	126	2112
17	134	2108
18	142	2104
19	149	2096
20	156	2076
21	163	2065
22	170	2053
23	177	2044
24	184	2030
25	198	2088
26	208	2107
27	215	2094
28	222	2080
29	229	2067
30	236	2056
31	244	2047
32	251	2033
33	259	2026
34	265	2011
35	272	1999
36	280	1990
37	287	1979
38	294	1968
39	301	1958
40	308	1949
41	315	1940
42	322	1930
43	331	1926
44	338	1916
45	345	1905
46	351	1894
47	359	1888
48	366	1878
49	374	1871
50	381	1862
51	388	1854
52	396	1847
53	403	1837
54	410	1828
55	417	1818
56	425	1812
57	433	1806
58	440	1798
59	447	1789
60	454	1781
61	462	1773
62	468	1762
63	475	1753
64	482	1745
65	489	1734
66	495	1723
67	502	1713
68	509	1704
69	517	1701
70	524	1692
71	531	1682
72	537	1671
73	544	1661
74	550	1651
75	557	1641
76	563	1632
77	570	1622
78	576	1613
79	583	1604
80	590	1595
81	596	1586
82	603	1577
83	609	1567
84	616	1559
85	623	1550
86	629	1542
87	636	1533
88	643	1524
89	649	1515
90	655	1506
91	662	1497
92	669	1489
93	675	1480
94	681	1471
95	688	1462
96	694	1453
97	701	1446
98	708	1438
99	716	1432
100	724	1426
101	731	1419
102	738	1412
103	745	1404
104	754	1401
105	764	1399
106	774	1396
107	783	1392
108	790	1385
109	798	1378
110	806	1373
111	817	1372
112	825	1366
113	834	1361
114	842	1354
115	849	1347
116	857	1340
117	864	1333
118	871	1325
119	878	1317
120	884	1309
121	891	1300
122	897	1292
123	905	1284
124	911	1276
125	918	1268
126	925	1260
127	931	1252
128	938	1244
129	945	1236
130	952	1228
131	959	1221
132	966	1213
133	973	1206
134	980	1198
135	987	1190
136	994	1183
137	1002	1176
138	1010	1170
139	1019	1164
140	1027	1158
141	1035	1152
142	1042	1144
143	1047	1135
144	1055	1128
145	1062	1120
146	1069	1112
147	1075	1104
148	1083	1097
149	1090	1090
150	1096	1082
151	1103	1074
152	1110	1067
153	1118	1059
154	1125	1052
155	1135	1047
156	1142	1041
157	1153	1036
158	1161	1030
159	1170	1024
160	1178	1017
161	1187	1011
162	1197	1006
163	1206	1000
164	1212	992
165	1220	985
166	1227	977
167	1234	969
168	1241	962
169	1247	953
170	1254	946
171	1261	938
172	1268	931
173	1275	923
174	1282	916
175	1289	908
176	1295	900
177	1303	893
178	1310	885
179	1317	878
180	1325	871
181	1331	863
182	1338	855
183	1345	847
184	1351	840
185	1358	832
186	1365	824
187	1371	817
188	1378	809
189	1385	801
190	1391	794
191	1398	786
192	1405	779
193	1411	771
194	1418	764
195	1426	756
196	1433	749
197	1439	741
198	1446	734
199	1453	726
200	1460	719
201	1467	711
202	1473	704
203	1480	696
204	1487	689
205	1493	681
206	1500	673
207	1506	666
208	1514	659
209	1520	651
210	1526	644
211	1533	636
212	1540	629
213	1546	621
214	1552	613
215	1559	606
216	1565	598
217	1572	591
218	1578	583
219	1584	576
220	1591	568
221	1598	561
222	1604	554
223	1611	546
224	1618	539
225	1625	532
226	1632	524
227	1638	517
228	1644	509
229	1651	502
230	1657	495
231	1664	487
232	1671	480
233	1677	473
234	1684	465
235	1690	458
236	1697	451
237	1704	443
238	1710	436
239	1720	430
240	1727	422
241	1734	415
242	1741	408
243	1748	401
244	1755	394
245	1763	387
246	1770	379
247	1777	372
248	1784	365
249	1792	358
250	1799	351
251	1806	344
252	1813	336
253	1820	329
254	1827	322
255	1834	315
256	1841	308
257	1848	300
258	1855	293
259	1861	286
260	1869	279
261	1876	272
262	1883	264
263	1890	257
264	1897	250
265	1904	243
266	1911	236
267	1917	229
268	1924	221
269	1931	214
270	1938	207
271	1945	200
272	1953	193
273	1960	186
274	1967	178
275	1974	171
276	1981	164
277	1988	157
278	1996	150
279	2003	143
280	2010	135
281	2016	128
282	2023	121
283	2030	114
284	2038	107
285	2045	100
286	2052	92
287	2059	85
288	2067	78
289	2074	71
290	2081	64
291	2089	57
292	2095	50
293	2102	42
294	2109	35
295	2116	28
296	2123	21
297	2130	14
298	2136	7
299	2144	0
